,filepaths,labels,data set
252,train\AFRICAN FIREFINCH\116.jpg,AFRICAN FIREFINCH,train
253,train\AFRICAN FIREFINCH\117.jpg,AFRICAN FIREFINCH,train
254,train\AFRICAN FIREFINCH\118.jpg,AFRICAN FIREFINCH,train
255,train\AFRICAN FIREFINCH\119.jpg,AFRICAN FIREFINCH,train
256,train\AFRICAN FIREFINCH\120.jpg,AFRICAN FIREFINCH,train
257,train\AFRICAN FIREFINCH\121.jpg,AFRICAN FIREFINCH,train
258,train\AFRICAN FIREFINCH\122.jpg,AFRICAN FIREFINCH,train
259,train\AFRICAN FIREFINCH\123.jpg,AFRICAN FIREFINCH,train
260,train\AFRICAN FIREFINCH\124.jpg,AFRICAN FIREFINCH,train
261,train\AFRICAN FIREFINCH\125.jpg,AFRICAN FIREFINCH,train
262,train\AFRICAN FIREFINCH\126.jpg,AFRICAN FIREFINCH,train
263,train\AFRICAN FIREFINCH\127.jpg,AFRICAN FIREFINCH,train
264,train\AFRICAN FIREFINCH\128.jpg,AFRICAN FIREFINCH,train
265,train\AFRICAN FIREFINCH\129.jpg,AFRICAN FIREFINCH,train
266,train\AFRICAN FIREFINCH\130.jpg,AFRICAN FIREFINCH,train
267,train\AFRICAN FIREFINCH\131.jpg,AFRICAN FIREFINCH,train
268,train\AFRICAN FIREFINCH\132.jpg,AFRICAN FIREFINCH,train
269,train\AFRICAN FIREFINCH\133.jpg,AFRICAN FIREFINCH,train
270,train\AFRICAN FIREFINCH\134.jpg,AFRICAN FIREFINCH,train
271,train\AFRICAN FIREFINCH\135.jpg,AFRICAN FIREFINCH,train
272,train\AFRICAN FIREFINCH\136.jpg,AFRICAN FIREFINCH,train
273,train\AFRICAN FIREFINCH\137.jpg,AFRICAN FIREFINCH,train
274,train\AFRICAN FIREFINCH\138.jpg,AFRICAN FIREFINCH,train
275,train\AFRICAN FIREFINCH\139.jpg,AFRICAN FIREFINCH,train
276,train\AFRICAN FIREFINCH\140.jpg,AFRICAN FIREFINCH,train
277,train\ALBATROSS\001.jpg,ALBATROSS,train
278,train\ALBATROSS\002.jpg,ALBATROSS,train
279,train\ALBATROSS\003.jpg,ALBATROSS,train
280,train\ALBATROSS\004.jpg,ALBATROSS,train
281,train\ALBATROSS\005.jpg,ALBATROSS,train
282,train\ALBATROSS\006.jpg,ALBATROSS,train
283,train\ALBATROSS\007.jpg,ALBATROSS,train
284,train\ALBATROSS\008.jpg,ALBATROSS,train
285,train\ALBATROSS\009.jpg,ALBATROSS,train
286,train\ALBATROSS\010.jpg,ALBATROSS,train
287,train\ALBATROSS\011.jpg,ALBATROSS,train
288,train\ALBATROSS\012.jpg,ALBATROSS,train
289,train\ALBATROSS\013.jpg,ALBATROSS,train
290,train\ALBATROSS\014.jpg,ALBATROSS,train
291,train\ALBATROSS\015.jpg,ALBATROSS,train
292,train\ALBATROSS\016.jpg,ALBATROSS,train
293,train\ALBATROSS\017.jpg,ALBATROSS,train
294,train\ALBATROSS\018.jpg,ALBATROSS,train
295,train\ALBATROSS\019.jpg,ALBATROSS,train
296,train\ALBATROSS\020.jpg,ALBATROSS,train
297,train\ALBATROSS\021.jpg,ALBATROSS,train
298,train\ALBATROSS\022.jpg,ALBATROSS,train
299,train\ALBATROSS\023.jpg,ALBATROSS,train
300,train\ALBATROSS\024.jpg,ALBATROSS,train
301,train\ALBATROSS\025.jpg,ALBATROSS,train
302,train\ALBATROSS\026.jpg,ALBATROSS,train
303,train\ALBATROSS\027.jpg,ALBATROSS,train
304,train\ALBATROSS\028.jpg,ALBATROSS,train
305,train\ALBATROSS\029.jpg,ALBATROSS,train
306,train\ALBATROSS\030.jpg,ALBATROSS,train
307,train\ALBATROSS\031.jpg,ALBATROSS,train
308,train\ALBATROSS\032.jpg,ALBATROSS,train
309,train\ALBATROSS\033.jpg,ALBATROSS,train
310,train\ALBATROSS\034.jpg,ALBATROSS,train
311,train\ALBATROSS\035.jpg,ALBATROSS,train
312,train\ALBATROSS\036.jpg,ALBATROSS,train
313,train\ALBATROSS\037.jpg,ALBATROSS,train
314,train\ALBATROSS\038.jpg,ALBATROSS,train
315,train\ALBATROSS\039.jpg,ALBATROSS,train
316,train\ALBATROSS\040.jpg,ALBATROSS,train
317,train\ALBATROSS\041.jpg,ALBATROSS,train
318,train\ALBATROSS\042.jpg,ALBATROSS,train
319,train\ALBATROSS\043.jpg,ALBATROSS,train
320,train\ALBATROSS\044.jpg,ALBATROSS,train
321,train\ALBATROSS\045.jpg,ALBATROSS,train
322,train\ALBATROSS\046.jpg,ALBATROSS,train
323,train\ALBATROSS\047.jpg,ALBATROSS,train
324,train\ALBATROSS\048.jpg,ALBATROSS,train
325,train\ALBATROSS\049.jpg,ALBATROSS,train
326,train\ALBATROSS\050.jpg,ALBATROSS,train
327,train\ALBATROSS\051.jpg,ALBATROSS,train
328,train\ALBATROSS\052.jpg,ALBATROSS,train
329,train\ALBATROSS\053.jpg,ALBATROSS,train
330,train\ALBATROSS\054.jpg,ALBATROSS,train
331,train\ALBATROSS\055.jpg,ALBATROSS,train
332,train\ALBATROSS\056.jpg,ALBATROSS,train
333,train\ALBATROSS\057.jpg,ALBATROSS,train
334,train\ALBATROSS\058.jpg,ALBATROSS,train
335,train\ALBATROSS\059.jpg,ALBATROSS,train
336,train\ALBATROSS\060.jpg,ALBATROSS,train
337,train\ALBATROSS\061.jpg,ALBATROSS,train
338,train\ALBATROSS\062.jpg,ALBATROSS,train
339,train\ALBATROSS\063.jpg,ALBATROSS,train
340,train\ALBATROSS\064.jpg,ALBATROSS,train
341,train\ALBATROSS\065.jpg,ALBATROSS,train
342,train\ALBATROSS\066.jpg,ALBATROSS,train
343,train\ALBATROSS\067.jpg,ALBATROSS,train
344,train\ALBATROSS\068.jpg,ALBATROSS,train
345,train\ALBATROSS\069.jpg,ALBATROSS,train
346,train\ALBATROSS\070.jpg,ALBATROSS,train
347,train\ALBATROSS\071.jpg,ALBATROSS,train
348,train\ALBATROSS\072.jpg,ALBATROSS,train
349,train\ALBATROSS\073.jpg,ALBATROSS,train
350,train\ALBATROSS\074.jpg,ALBATROSS,train
351,train\ALBATROSS\075.jpg,ALBATROSS,train
352,train\ALBATROSS\076.jpg,ALBATROSS,train
353,train\ALBATROSS\077.jpg,ALBATROSS,train
354,train\ALBATROSS\078.jpg,ALBATROSS,train
355,train\ALBATROSS\079.jpg,ALBATROSS,train
356,train\ALBATROSS\080.jpg,ALBATROSS,train
357,train\ALBATROSS\081.jpg,ALBATROSS,train
358,train\ALBATROSS\082.jpg,ALBATROSS,train
359,train\ALBATROSS\083.jpg,ALBATROSS,train
